"","X","Y"
"187",453437.213288933,4435314.30782171
"188",452164.211609967,4433659.12617801
"189",450071.289343319,4435123.32122277
"190",448088.392376139,4434683.77786629
"191",451228.749979534,4434188.66412689
"192",449814.861684073,4433188.26712782
"193",447023.797304863,4434370.4145325
"194",450710.278346034,4434292.27335937
"195",447692.254472109,4434499.36446107
"196",451523.27808417,4433474.41603194
"197",449611.692975592,4434580.08468332
"198",449913.040872991,4433504.12254292
"199",448429.102643624,4434086.55002663
"200",450974.755432095,4434301.29503164
"201",450345.346566319,4433489.07055197
"202",449252.989170556,4435177.37255717
"203",453141.79053962,4434732.74293564
"204",452385.365262699,4433646.99844764
"205",450201.329278235,4434417.30691435
"206",448383.570658896,4434452.70651529
"207",451570.622620289,4433859.28287462
"208",452197.662856355,4433919.37465233
"209",449062.19719989,4434367.15325719
"210",450881.088969303,4434792.6545168
"211",447223.539407738,4434359.81716266
"212",451059.921073184,4433316.10240311
"213",449096.661460923,4434828.23876635
"214",449133.113909755,4433512.20150143
"215",448599.916362,4433669.0348448
"216",452473.106173118,4434335.35677296
"217",450147.392848777,4434056.2711655
"218",448258.344895252,4435009.41627429
"219",453242.370878509,4435061.61643581
"220",452809.884364088,4433925.114214
"221",450230.265770567,4434556.15485845
"222",448119.05127584,4434593.65541914
"223",451700.879610679,4433931.4649305
"224",451613.904312547,4433034.06102173
"225",449366.594029192,4434544.42307861
"226",449406.221108355,4433866.95905559
"227",447742.055519958,4434029.71024237
"228",451040.902846139,4433531.54857231
"229",450515.01764625,4434147.33990454
"230",449920.62246798,4434195.98320403
"231",449040.570174188,4433759.92404501
"232",452234.071339806,4434352.98938675
"233",450273.387609584,4433865.10322392
"234",448662.430042971,4434594.79981633
"235",452880.681436344,4434373.05188867
"236",452038.59337762,4433703.89246456
"237",450222.112906867,4434847.65530331
"238",447736.127960346,4434847.35501715
"239",451127.394517349,4433858.70616641
"240",451324.358984861,4433255.5665338
"241",449902.211773773,4434510.29713171
"242",449098.096164101,4434159.87785709
"243",448092.524320955,4434189.01892134
"244",451873.001356032,4434437.65310027
"245",450876.456966469,4434075.67125305
"246",449630.073439246,4433867.97889268
"247",453041.333901289,4434045.53224417
"248",452726.371095024,4434713.47788504
"249",450639.921411481,4433510.91219779
"250",448789.401384273,4434292.96385285
"251",453641.581617901,4435438.64134804
"252",452304.441452735,4433588.3555054
"253",450620.962921243,4434588.55884433
"254",447811.755165268,4434326.83245768
"255",451673.984021454,4433374.70483125
"256",450908.50083373,4433225.89000752
"257",449812.177962015,4434594.63338039
